group,n,test,week,period,mean,sd,mean_change,sd_change
control,32,TNSS,0,AM,5.59,2.07,,
control,32,TNSS,0,PM,5.49,1.95,,
control,32,TNSS,0,AMPM,11.08,3.83,,
control,32,TNSS,2,AM,4.92,1.91,-0.67,2.01
control,32,TNSS,2,PM,4.72,2.16,-0.78,1.49
control,32,TNSS,2,AMPM,9.63,3.83,-1.45,3.11
control,32,TNSS,4,AM,4.64,2.52,-1.02,2.62
control,32,TNSS,4,PM,4.70,2.55,-0.88,2.22
control,32,TNSS,4,AMPM,9.34,5.02,-1.90,4.64
control,32,TNSS,6,AM,,,,
control,32,TNSS,6,PM,5.13,3.05,-0.37,2.82
control,32,TNSS,6,AMPM,,,,
control,32,NSDS,0,AM,5.24,2.13,,
control,32,NSDS,0,PM,5.36,2.10,,
control,32,NSDS,0,AMPM,10.59,4.14,,
control,32,NSDS,2,AM,4.85,2.14,-0.39,1.67
control,32,NSDS,2,PM,4.63,2.39,-0.73,1.49
control,32,NSDS,2,AMPM,9.48,4.31,-1.12,2.87
control,32,NSDS,4,AM,4.72,2.53,-0.60,2.29
control,32,NSDS,4,PM,4.80,2.58,-0.65,2.18
control,32,NSDS,4,AMPM,9.52,5.06,-1.25,4.35
control,32,NSDS,6,AM,,,,
control,32,NSDS,6,PM,5.03,2.96,-0.33,2.75
control,32,NSDS,6,AMPM,,,,
treatment,36,TNSS,0,AM,5.55,2.11,,
treatment,36,TNSS,0,PM,5.58,2.27,,
treatment,36,TNSS,0,AMPM,11.13,4.25,,
treatment,36,TNSS,2,AM,4.27,1.74,-1.28,1.87
treatment,36,TNSS,2,PM,3.88,1.71,-1.70,1.72
treatment,36,TNSS,2,AMPM,8.15,3.28,-2.99,3.46
treatment,36,TNSS,4,AM,3.65,1.69,-1.90,2.07
treatment,36,TNSS,4,PM,3.41,1.76,-2.17,2.14
treatment,36,TNSS,4,AMPM,7.07,3.32,-4.07,4.05
treatment,36,TNSS,6,AM,,,,
treatment,36,TNSS,6,PM,4.25,2.42,-1.33,2.78
treatment,36,TNSS,6,AMPM,,,,
treatment,36,NSDS,0,AM,5.72,2.07,,
treatment,36,NSDS,0,PM,5.60,2.21,,
treatment,36,NSDS,0,AMPM,11.32,4.20,,
treatment,36,NSDS,2,AM,4.51,2.15,-1.21,1.65
treatment,36,NSDS,2,PM,4.18,2.04,-1.42,1.49
treatment,36,NSDS,2,AMPM,8.69,4.12,-2.63,3.02
treatment,36,NSDS,4,AM,3.79,1.97,-1.94,1.97
treatment,36,NSDS,4,PM,3.63,2.21,-1.97,2.05
treatment,36,NSDS,4,AMPM,7.41,4.09,-3.91,3.91
treatment,36,NSDS,6,AM,,,,
treatment,36,NSDS,6,PM,4.17,2.17,-1.43,2.10
treatment,36,NSDS,6,AMPM,,,,
